Date,Image Name,Resolution,Size (bytes),Image Path,Brisque_Score,Quality_Assessment
03-05-2023,03-05-2023/100177623_2023-05-02_2.jpg,270 x 480,15532,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100177623_2023-05-02_2.jpg"")",25.66981910480112,Good quality and clarity
03-05-2023,03-05-2023/100186875_2023-05-02_2.jpg,480 x 640,30923,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100186875_2023-05-02_2.jpg"")",25.879784212517364,Good quality and clarity
03-05-2023,03-05-2023/100188903_2023-05-02_2.jpg,480 x 640,32181,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100188903_2023-05-02_2.jpg"")",28.992144538973747,Good quality and clarity
03-05-2023,03-05-2023/100191232_2023-05-02_2.jpg,480 x 640,30731,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100191232_2023-05-02_2.jpg"")",27.472472731654847,Good quality and clarity
03-05-2023,03-05-2023/100191549_2023-05-02_2.jpg,480 x 640,37960,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100191549_2023-05-02_2.jpg"")",26.490944824056868,Good quality and clarity
03-05-2023,03-05-2023/100194222_2023-05-02_2.jpg,480 x 360,16791,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100194222_2023-05-02_2.jpg"")",29.551774873509856,Good quality and clarity
03-05-2023,03-05-2023/100200214_2023-05-02_2.jpg,480 x 640,33975,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100200214_2023-05-02_2.jpg"")",43.79568878803056,Poor quality and clarity
03-05-2023,03-05-2023/100204734_2023-05-02_2.jpg,480 x 642,21500,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100204734_2023-05-02_2.jpg"")",32.24034856051193,Poor quality and clarity
03-05-2023,03-05-2023/100206091_2023-05-02_2.jpg,270 x 480,11927,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100206091_2023-05-02_2.jpg"")",24.604004075462143,Good quality and clarity
03-05-2023,03-05-2023/100209632_2023-05-02_2.jpg,480 x 640,35074,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100209632_2023-05-02_2.jpg"")",27.426305145912323,Good quality and clarity
03-05-2023,03-05-2023/100211042_2023-05-02_2.jpg,480 x 640,36064,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100211042_2023-05-02_2.jpg"")",25.046115631543415,Good quality and clarity
03-05-2023,03-05-2023/100211942_2023-05-02_2.jpg,360 x 480,25148,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100211942_2023-05-02_2.jpg"")",22.596442857169876,Good quality and clarity
03-05-2023,03-05-2023/100214841_2023-05-02_2.jpg,480 x 1039,44479,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100214841_2023-05-02_2.jpg"")",35.13757330497273,Poor quality and clarity
03-05-2023,03-05-2023/100215590_2023-05-02_2.jpg,360 x 480,3556,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100215590_2023-05-02_2.jpg"")",79.36233386459125,Poor quality and clarity
03-05-2023,03-05-2023/100217266_2023-05-02_2.jpg,480 x 1010,39391,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100217266_2023-05-02_2.jpg"")",18.48201082572072,Good quality and clarity
03-05-2023,03-05-2023/100232304_2023-05-02_2.jpg,480 x 640,51589,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100232304_2023-05-02_2.jpg"")",18.90934697770885,Good quality and clarity
03-05-2023,03-05-2023/100232312_2023-05-02_2.jpg,480 x 640,50698,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100232312_2023-05-02_2.jpg"")",25.459898405398434,Good quality and clarity
03-05-2023,03-05-2023/100236439_2023-05-02_2.jpg,480 x 852,47968,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100236439_2023-05-02_2.jpg"")",32.3961100526528,Poor quality and clarity
